MES,PET_M,Ocupados_M,Desocupados_M,PEA_M,Informales_M,TD_%,TGP_%,TO_%,Tasa_Informalidad_%,Año,Ciudad
3,0.25756591666663015,0.13263021705152342,0.017876561396581832,0.15050677844810526,0.057264343826310245,11.877578924291221,58.43427593057956,51.493698688086866,43.17594067124577,2024,Armenia
4,0.25786758333329235,0.1330925556648964,0.018059272494071417,0.15115182815896785,0.05679131846455276,11.947769811343798,58.616064185006536,51.612751763712396,42.67054470540283,2024,Armenia
5,0.2581671666666434,0.13411853191926648,0.018214560126864416,0.1523330920461309,0.057292700387595256,11.957060598066581,59.00560246021911,51.95026681779644,42.71795967919106,2024,Armenia
6,0.25846424999997075,0.1340879518074134,0.01786785864146617,0.1519558104488796,0.05682023517167109,11.75858862434037,58.79180987269875,51.87872280496377,42.375347229764785,2024,Armenia
7,0.2587595833332537,0.1347261135184029,0.01757615074719125,0.15230226426559418,0.05633134355661499,11.54030823635088,58.858598512058094,52.06613482017034,41.81174835784186,2024,Armenia
8,0.2590528333332655,0.13564098841191316,0.017593930699178584,0.15323491911109174,0.056558190054453415,11.481671933029439,59.15199503491188,52.36035702316143,41.696975756839876,2024,Armenia
9,0.2593441666665817,0.13662775928651716,0.017896123364433834,0.154523882650951,0.05685583428140642,11.581461103238526,59.5825557355258,52.68202521870047,41.61367688258438,2024,Armenia
10,0.2596340833332791,0.13769603214501075,0.017510375650708333,0.1552064077957191,0.05732520388905741,11.281992734317575,59.778903371668854,53.03465183662245,41.631703540075115,2024,Armenia
11,0.2599224166665985,0.13803730247982007,0.017200784647062085,0.15523808712688217,0.05729920356076159,11.080260627666206,59.724778307984685,53.10711721216413,41.509941538547714,2024,Armenia
12,0.2602094166665481,0.1384554667490115,0.017314289008998583,0.15576975575801008,0.058029502945750926,11.11530856856225,59.863227762285455,53.209245277406204,41.91203446733188,2024,Armenia
1,0.2604950833331941,0.1386825351258994,0.017066535549963915,0.15574907067586333,0.05835075473953383,10.957712605221177,59.78963928338247,53.23806244301099,42.0750563050795,2025,Armenia
2,0.26077924999983015,0.13955397491134067,0.017169747917702333,0.15672372282904298,0.05937592030163217,10.955423727671016,60.09823359379439,53.51421745074869,42.54692160460065,2025,Armenia
3,0.26106141666648486,0.14098969522707316,0.016845698024718667,0.15783539325179183,0.06019592346021058,10.672953434370099,60.45910394082941,54.006331930387276,42.695264617219784,2025,Armenia
4,0.26134283333317004,0.1412830209096254,0.01660773194557375,0.15789075285519918,0.06100808084482184,10.518495634006266,60.41518370389514,54.06041524372406,43.18146685428457,2025,Armenia
5,0.2616229999998532,0.14117274742038258,0.016695326527042916,0.1578680739474255,0.06147421049302151,10.575492631019829,60.341817786476746,53.96037329304448,43.5453808304547,2025,Armenia
6,0.2619022499999085,0.14193794323282793,0.016372815081585165,0.15831075831441307,0.06194142323153367,10.342199895895853,60.44650563882838,54.19500719557679,43.63979202511625,2025,Armenia
7,0.2621802499999482,0.14238520258398227,0.016237375073670835,0.15862257765765309,0.06229988552161118,10.236484183679782,60.501345031780396,54.30813441668867,43.75446632866585,2025,Armenia
8,0.2624573333332559,0.14260108966431323,0.01625584647393492,0.15885693613824817,0.06249619462838075,10.233010197167577,60.526766054023405,54.33305591169941,43.82588855071056,2025,Armenia
9,0.26273316666662516,0.14278532653076476,0.015691433401872002,0.15847675993263677,0.06258926098256133,9.901409776765952,60.318520856456445,54.34613693517465,43.83451892661796,2025,Armenia
10,0.26300791666659046,0.14265584415206825,0.0159097131992145,0.15856555735128275,0.0625619374044775,10.033523966348167,60.28927165424185,54.24013313367675,43.855152080406704,2025,Armenia
11,0.2632813333332817,0.143036707174474,0.015542853699284251,0.15857956087375827,0.06292412423663767,9.801296972727512,60.23198031780556,54.32846505430264,43.99159172469188,2025,Armenia
12,0.2635538333332783,0.1429508769637755,0.015804948817671582,0.1587558257814471,0.06286663507119059,9.955507925378205,60.23658384080175,54.23972596255364,43.97778901847612,2025,Armenia
1,0.263824999999942,0.14246516390146877,0.016307370450550335,0.15877253435201907,0.06218437355637641,10.270901398093704,60.181004208112945,53.999872605515044,43.648827442043405,2026,Armenia
2,0.2640949166666348,0.14288231147069783,0.016212470390268,0.15909478186096584,0.06196817988955325,10.190447606531938,60.24151614466328,54.10263600456088,43.37008496832838,2026,Armenia
3,0.26436391666667175,0.14275189550841416,0.016727703247733167,0.15947959875614734,0.06187080067436817,10.488929855730765,60.32578150868835,53.998252601320615,43.34149151155849,2026,Armenia
4,0.26463174999998645,0.1433567895017752,0.016761170809366666,0.1601179603111418,0.06156740027347884,10.468014192034609,60.505952256730346,54.172180587470145,42.9469720181732,2026,Armenia
2,1.5197579999995703,0.85916302485023,0.10355343897662,0.96271646382685,0.49551292018447,10.756379771982862,63.34669492294972,56.53288384403786,57.673911219683625,2022,Barranquilla A.M.
3,1.5214570000015102,0.8371930939221001,0.1297127140006,0.9669058079227,0.49320325554608,13.415237858512272,63.55130693287686,55.02574794563824,58.911529386310505,2022,Barranquilla A.M.
4,1.52331100000131,0.84475263417429,0.12341476945244,0.96816740362673,0.5036406695394,12.747255174067156,63.55677886038357,55.455034078632906,59.61989926574037,2022,Barranquilla A.M.
5,1.52509600000053,0.80465614622992,0.10289927095418999,0.9075554171841099,0.42555710066095,11.338070271615763,59.50808455230323,52.76101610847057,52.8868265848494,2022,Barranquilla A.M.
6,1.52693100000022,0.9062670603859101,0.10660168968885,1.01286875007476,0.48143244098635996,10.524728863535548,66.33362935683498,59.35219472168549,53.122579649022505,2022,Barranquilla A.M.
7,1.52870100000121,0.8694936149268699,0.13270633632437998,1.00219995125125,0.50056823157466,13.241502971407618,65.55892560091586,56.87793851944767,57.57008711521833,2022,Barranquilla A.M.
8,1.53053500000098,0.89409815862411,0.11691296136481001,1.01101111998892,0.52124981786967,11.563963941968442,66.05606013506863,58.417361159564294,58.29894769851661,2022,Barranquilla A.M.
9,1.53237899999982,0.89380975772048,0.11315263480206,1.0069623925225402,0.52259203840096,11.237026888223848,65.71235918285609,58.32824371259231,58.46792719445669,2022,Barranquilla A.M.
10,1.5341790000007,0.89725055525976,0.10534839373074001,1.0025989489905,0.5536563697455199,10.507530836414054,65.35084556561148,58.48408531594753,61.705882097251276,2022,Barranquilla A.M.
11,1.53605599999903,0.89926811591842,0.10958066114886,1.00884877706728,0.50614274198,10.86195113081374,65.67786441821895,58.543966881349895,56.2838527265117,2022,Barranquilla A.M.
12,1.5378870000006,0.93356279148679,0.12772627358104,1.06128906506783,0.56807721852165,12.035012682701735,69.00956084988142,60.704251449321426,60.85045630588293,2022,Barranquilla A.M.
