index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,Ciudad,Año
7,Industrias manufactureras,2134.7559332035,1249.7763288026667,3384.5322620061665,5.0,5.6,4.2,3,2,1,Florencia,2025
8,"Agricultura, ganadería, caza, silvicultura y pesca",1200.6962945020832,141.22174620125,1341.9180407033332,2.0,3.1,0.5,1,1,0,Florencia,2025
9,Actividades financieras y de seguros,767.8165547443333,511.16896502833333,1278.9855197726665,1.9,2.0,1.7,1,1,1,Florencia,2025
10,"Suministro de electricidad, gas, agua y gestión de desechos^",830.15577527025,244.74623276358335,1074.9020080338335,1.6,2.2,0.8,1,1,0,Florencia,2025
11,Información y comunicaciones,584.3432228544167,157.16456858675,741.5077914411667,1.1,1.5,0.5,1,1,0,Florencia,2025
12,Actividades inmobiliarias,203.8673282465,120.0479823375,323.915310584,0.5,0.5,0.4,0,0,0,Florencia,2025
0,Comercio y reparación de vehículos,16109.26508577325,11966.916933522833,28076.18201929608,19.4,19.9,18.8,28,16,12,Ibagué,2025
1,"Administración pública y defensa, educación y atención de la salud humana",10541.423167445417,14520.00943464275,25061.432602088167,17.3,13.0,22.8,25,11,15,Ibagué,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",4972.4925189355,11940.488724544,16912.981243479502,11.7,6.1,18.7,17,5,12,Ibagué,2025
3,Construcción,15586.368045295416,894.7845081223334,16481.15255341775,11.4,19.2,1.4,16,16,1,Ibagué,2025
4,Alojamiento y servicios de comida,4217.172286757834,8776.498948678833,12993.671235436666,9.0,5.2,13.8,13,4,9,Ibagué,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",3822.766571709,7398.453587008166,11221.220158717166,7.7,4.7,11.6,11,4,7,Ibagué,2025
6,Transporte y almacenamiento,9732.259803730916,1050.3754706139166,10782.635274344833,7.4,12.0,1.6,11,10,1,Ibagué,2025
7,Industrias manufactureras,6469.554642734,3198.9069113206665,9668.461554054666,6.7,8.0,5.0,10,6,3,Ibagué,2025
8,"Suministro de electricidad, gas, agua y gestión de desechos^",3952.7723347285,1093.08734780025,5045.8596825287495,3.5,4.9,1.7,5,4,1,Ibagué,2025
