index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,CV_%,Clasificacion_Precision,Ciudad,Año
5,Transporte y almacenamiento,58.8,35.0,47.4,94.1,0.4,✅ Precisión alta,Todas (Panorama Nacional),2025
7,Construcción,58.8,32.7,50.4,93.4,0.4,✅ Precisión alta,Todas (Panorama Nacional),2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.8,24.0,35.9,95.4,0.5,✅ Precisión alta,Todas (Panorama Nacional),2025
9,Alojamiento y servicios de comida,49.2,20.8,34.9,92.0,0.5,✅ Precisión alta,Todas (Panorama Nacional),2025
1,"Agricultura, ganadería, caza, silvicultura y pesca",44.5,14.3,23.4,95.7,0.6,✅ Precisión alta,Todas (Panorama Nacional),2025
6,"Administración pública y defensa, educación y atención de la salud humana",95.9,93.6,94.4,99.8,0.4,✅ Precisión alta,Tunja,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",68.4,50.5,57.1,97.6,1.6,✅ Precisión alta,Tunja,2025
1,Transporte y almacenamiento,67.5,48.1,57.5,97.0,1.7,✅ Precisión alta,Tunja,2025
0,Comercio y reparación de vehículos,67.1,46.5,58.4,96.6,1.8,✅ Precisión alta,Tunja,2025
5,Construcción,65.7,38.4,63.2,95.4,2.1,✅ Precisión alta,Tunja,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.5,30.3,40.0,96.2,2.5,✅ Precisión alta,Tunja,2025
2,Alojamiento y servicios de comida,51.1,23.0,37.2,93.1,3.0,✅ Precisión alta,Tunja,2025
0,"Administración pública y defensa, educación y atención de la salud humana",90.8,88.3,84.3,99.7,0.6,✅ Precisión alta,Valledupar,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",56.7,29.5,43.7,96.7,2.7,✅ Precisión alta,Valledupar,2025
2,Comercio y reparación de vehículos,54.9,27.6,39.5,97.6,2.8,✅ Precisión alta,Valledupar,2025
4,Industrias manufactureras,54.8,29.3,38.1,97.0,2.7,✅ Precisión alta,Valledupar,2025
